Fecha,CPI Core,CPI Tradable,CPI Non-Tradable,CPI,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index),Wheat (US$ per ton),Corn  (US$ per ton),Soybean oil (US$ per ton),Crude oil (US$ per barrel)
2003-10-01,0.09342113653254357,0.4710923879966544,0.5129276928917399,0.4956091613228269,1.0825125234745707,0.9265232299324307,-0.013523287175497336,0.9963649610037206,0.04821778889720126,0.030202121692967262,1.0521624644683791,0.6757234504407506,10.3499444005604,2.75,0.010225493786262252,0.005542214069908846,0.056953017923109694,0.01658760612744059,-0.02780771718042685,0.18123217764026145,0.06579705516872836
2003-11-01,0.09473805037227322,0.4585905480121254,0.4756322286100462,0.46853150120301656,1.013425807055321,0.866951331809919,-0.0021804617951835174,0.9176749146826363,0.06753444369675231,0.031715112101389276,1.0105312431101787,0.6408396850809366,11.6906076799113,2.5,0.011444806359083515,0.050288348774020886,-0.001674037902471004,0.11520537359567573,0.07536585365853665,0.017021681247622267,0.02271476678369244
2003-12-01,0.09593743567533455,0.44505295827510394,0.4386016669176643,0.44117807665523245,0.9438873231857995,0.8071035655233507,0.00889515661340502,0.8394097748845758,0.08594536630691542,0.033198007940734776,0.9669290673203388,0.6049611107899717,11.3911780648162,2.5,0.01660710694037637,-0.010532468004586515,-0.005607882191473457,0.037146009562339044,0.04884278205646608,0.05125448028673851,0.03781482874843456
2004-01-01,0.09701968206380257,0.43063067418307605,0.4018240203175182,0.41360645385058725,0.8740352327463317,0.7470526717698242,0.019742120577350804,0.7615512702591073,0.10357297602909692,0.034708609737650796,0.9218982901165279,0.5682448532336939,10.6340298884779,2.5,0.019489990994957074,0.03623310162470883,-0.005345743847484208,0.0035460992907803135,0.06255769428014624,0.026779902674890277,0.06151696391202677
2004-02-01,0.09797642296114506,0.41549079969214797,0.36531571265694224,0.3858976075388127,0.8040747266703548,0.6869220123795132,0.03039322162405955,0.6841022905324081,0.12056735734719845,0.03628267980606449,0.8761103442534339,0.5308898985343086,10.7182950603118,2.5,0.017002527731173833,-0.005742569142382248,-0.010744158792175718,-0.01999411071849244,0.0818871415356146,0.08796299091375648,0.015737896738335477
2004-03-01,0.09881635288998955,0.3997634996099836,0.3291178012504772,0.35812830349178165,0.734180924316347,0.6268229036562055,0.04088204766958344,0.607093892066107,0.1370428038290939,0.03795039306353147,0.8298476294751361,0.4932042637185492,10.2072768102448,2.5,0.022076483035349703,-0.008751351310997357,-0.0045833812425245535,0.0005708963072024176,0.07370693885563018,0.047541513316042394,0.0581884704913056
2004-04-01,0.09952459875380637,0.38347067711768085,0.2931513717837095,0.3302593321946923,0.6642815755173849,0.5666737922598218,0.05121424132807805,0.5303554010563045,0.15307168984398595,0.03970238160988791,0.7830400593594192,0.4554395587646346,10.0587013909025,2.5,0.021821669221439022,0.0057546188671246945,0.00022775261085916654,0.02391482391482569,0.04529527450002124,-0.020193447119885355,0.0006042856681818254
2004-05-01,0.10009445117883228,0.36658728989333167,0.2574447370930683,0.3022953257768817,0.5943958924532668,0.5064611118043357,0.06141072534664854,0.4537754270692875,0.16875794608809552,0.041528687266285974,0.7355187354095555,0.4178439310006961,10.3650488886592,2.5,0.0286226101994016,0.0336909103416525,-0.003525970710338666,-0.03112136978718716,-0.04145171705738071,-0.047734902784643984,0.09541854066453959
2004-06-01,0.10054040288365941,0.3491073292837759,0.2222729333203227,0.27439095612359216,0.5248760354590997,0.4464213306015522,0.07152651791496122,0.3774823733213231,0.18428112646808378,0.04342920224658645,0.6870267580347104,0.3807023878442131,11.155937726367,2.5,0.012247972358272907,0.002865877565568331,-0.005606460662173629,-0.042207324200574714,-0.05546892740897502,-0.059038188577222095,-0.05535269932550524
2004-07-01,0.10087123941476493,0.33062137715413104,0.1882812189875159,0.24674744140558763,0.45620586147749415,0.3868973475856372,0.08160127387443579,0.301928350226373,0.1996307959981554,0.045340936474037884,0.6361626025457803,0.3439121490954382,12.4785305242137,2.5,0.007970678616386895,0.018587686149079685,-0.0019273642173724959,-0.027610975434562035,-0.17553012453719552,-0.05112153621045934,0.06897416903629972
2004-08-01,0.10079606993848826,0.30744702268521057,0.15704424503372047,0.21874570113461642,0.38740430196375963,0.3274958027450647,0.09080447897274317,0.22894156146044248,0.2120477997350486,0.046712780615487434,0.5739571107899339,0.3042467033655197,11.0031447940749,2.75,0.0016424309916576174,-0.008515404381656877,9.541548256231103e-05,-0.061931213804515384,-0.048989589712185366,-0.08355589469668134,0.10412312369370924
