Fecha,CPI,Core CPI - Services - Dining Out,Terms of Trade - Exports,Terms of Trade - Imports,Chicken Placements (thousands),Private Credit - ME - Consumption (mill US$),Private Credit - MN - Consumption (mill S/),Private Credit - MN - Mortgage (mill S/),Capacity Utilization - Food & Beverages,Electricity Production - Lima (GWh),GDP - Agriculture,GDP - Fishing,GDP - Mining,GDP Growth - Non-Primary Manufacturing,GDP - Construction,GDP - Non-Primary Manufacturing,GDP Growth - Commerce (annual %),GDP - Other Services (index 2007=100),GDP by Expenditure - Domestic Demand (mill S/ 2007),GDP by Expenditure - Domestic Demand ex. Inventories (mill S/ 2007),Private Consumption (mill S/ 2007),Private Fixed Investment (mill S/ 2007),Public Consumption (mill S/ 2007),Public Fixed Investment (mill S/ 2007),Fishmeal Price (US$ per ton),Coffee Price (US$ per ton),Copper Price (¢US$ per lb),Gold (US$ per oz troy),Wheat Price (US$ per ton),Corn Price (US$ per ton),Soybean Oil Price (US$ per ton),Crude Oil Price (US$ per barrel),Real Exchange Rate Index (monthly %),Monetary Policy Rate,Reserve Requirement Rate,General Index (base 31/12/91 = 100),Selective Index (base 31/12/91 = 100),Tax Revenue - VAT (mill S/),Tax Revenue - Income Tax (mill S/),Macroeconomic Expectations - Inflation (12 months),Macroeconomic Expectations - GDP (12 months),Macroeconomic Expectations - Exchange Rate (12 months),Business Expectations - Economy (3 months),Business Expectations - Sector (3 months),Business Expectations - Demand (3 months),Business Expectations - Orders (MoM),Business Expectations - Inventory (MoM),Business Expectations - Sales (MoM),Business Expectations - Current Situation,"Labor Force (3-month MA, thousands)","Employed 14-24 (3-month MA, thousands)","Employed 25-44 (3-month MA, thousands)","Employed 45+ (3-month MA, thousands)","Independent Worker (3-month MA, thousands)","Dependent Worker (3-month MA, thousands)","Unpaid Worker (3-month MA, thousands)","Firms 1-10 Workers (3-month MA, thousands)","Firms 11-50 Workers (3-month MA, thousands)","Firms 51+ Workers (3-month MA, thousands)","Adequately Employed (3-month MA, thousands)","Underemployed (3-month MA, thousands)",Employment Ratio (3-month MA),Monthly Income (3-month MA),"Unemployment Rate (3-month MA, %)"
2012-02-01,0.2932134193865926,0.5137530490677871,2.08430503668074,0.415673458298403,-0.07056037419532346,0.013861261402710046,0.01264737025367313,0.01824756292634344,-0.0038499851153013243,0.045999593812608985,0.0021652738453812326,-0.3526426533672301,-0.0453294989846551,9.669806808092101,0.09459101924913904,-0.029225290642087898,0.26373355808119636,0.01960401103635334,-0.03285424092413147,-0.024461644881088818,0.01611749309690591,-0.008280530874289704,-0.06752626123019934,-0.33967823642781647,0.001919374637960436,-0.11576686508292333,-0.028241287359954237,-0.017003279820473116,-0.015745713490073143,0.04031789344669501,0.024243025792942907,0.0019503327623062727,-0.282546332730255,0.0,0.12954725366104225,0.035569414531664956,0.04058474938792456,-0.2997277024684917,-0.2204573413876596,2.7,5.225,2.64916666666667,0.03807201800450244,0.059660707124404855,0.041664456116152104,0.017284909691202444,0.009584145549057066,0.015828017954170548,0.0004848093083382743,0.0063745847176079895,0.02302332626476833,-0.009238462516421464,0.00018306636155607237,0.017027215631542303,-0.015025999641384291,0.08506787330316756,0.0146407387942038,-0.061396303901437355,-0.006115497755070365,-0.00022785098545563542,0.0009395898966451099,-0.0012579657556756052,0.0014258423141113585,0.0721480981732574
2012-03-01,0.2810429107644884,0.50510512667567,-1.91835035753572,0.712506586148073,0.11743162337902668,0.010176212702603937,0.012328021136564615,0.024442149159308535,0.030023763072193566,0.11416029177872278,0.12782476363451578,-0.0842106157031629,0.13434117663782041,-5.24416834029473,0.1839687483566972,0.011658988473179255,-0.257011971708206,0.063377586978838,-0.010755463051822955,-0.009879604913728524,0.01992298087108968,-0.0004055207096118618,-0.045636931585390395,-0.35154719402926315,-0.01124262373268159,-0.0962313948369039,-8.348755308551503e-05,-0.023145140047414192,-0.022043466694496083,-0.006960807480673181,0.01867521321507226,0.07576202839802759,-2.722774990987327,0.0,-0.02824129615062554,0.03886135401198931,0.05721313928394545,0.023355802791580116,0.7113343886646755,2.7,5.5875,2.64625,0.06752628035834518,0.017092731829572827,0.004451632532145533,0.048514251061248626,-0.03371793435644599,0.09699829110632185,0.021569080044112843,-0.0024552788495264544,-0.016089231072944465,-0.004662303776893806,-0.00036606570879482714,-0.0071359956086181064,0.0004733124590403648,-0.07756463719766482,-0.01794435400325589,-0.006125574272588086,0.01838149388581667,0.020207391651156703,-0.044616234124792875,-0.007690299028738856,0.029639853002846328,0.04151502619244618
2012-04-01,0.2678103852826657,0.4984858392698696,-0.974725301371879,0.0431848227954813,-0.06080769667741892,0.013539492952715282,0.008976442695182163,0.018552165511985796,-0.04224321448528068,-0.0997058531018975,0.30505594536932423,0.3455506008115603,-0.10099824461645523,-0.6519728282342603,-0.07703702383530997,-0.04959475179336814,-0.16830284359397352,0.009808543736803621,0.021816860182583442,0.011995417072993897,0.020663397078002133,0.010334069392903933,-0.00216814827989531,-0.1032188956654072,0.010522363074531027,-0.061732332150492564,-0.0247240942675796,-0.004020829213631338,-0.05168736896683801,-0.012659432705121487,0.017666120685764453,-0.003256462472026267,-0.1522236476035036,0.0,-0.053481768982415634,-0.039559935998699,-0.024852365458144843,0.08268494075784227,0.25188152297656186,2.9,5.96666666666667,2.61333333333333,0.022792671915478513,-0.011438468925778378,0.006874989633610884,-0.006640106241699417,-0.03850015367277915,-0.07288369378768855,-0.02284376992062287,-0.0032059237196988555,-0.019763242375601897,0.012720240653201431,0.004760596905612147,0.012232204561161142,0.006696022417118641,-0.09538878842676313,0.0036921222167802803,-0.01650891481399952,0.009713193116634766,-0.02420045422391004,0.046237429198936475,0.0018908649972040337,-0.0161606578354756,-0.06986256909619348
2012-05-01,0.25392159626734084,0.49366561791489266,-0.216514129700708,-1.3449505770355,0.06318890483688766,0.02499095619208025,0.019995991392946166,0.0204925339921036,0.04801599856125849,0.019638890240221807,0.21212407922059384,1.71248757722338,0.07868372464339779,-1.1574908366312964,0.05880989515793811,0.10107684692048169,0.04124923400038738,-0.03215614595844385,0.04794989258380089,0.03014584485716454,0.021400629486380884,0.020147172099888477,0.03556750591795166,0.286337544973023,0.05155964524990053,0.07874050523841314,0.032282578665759454,-0.05965345045424453,0.028250296168793154,-0.017105445156532006,-0.07792911970506755,-0.07790382864389045,-0.27114157920744586,0.0,0.17494014458174867,-0.07409715084225055,-0.06686064069362252,-0.023457969450915495,-0.5286145328293339,3.03333333333333,6.0,2.63541666666667,-0.07939160956042168,-0.06518804243008691,-0.05755678273527631,-0.02749952749952822,-0.03128798357014184,-0.029345852340670442,-0.028777217482326978,-0.002074990143796862,-0.004912496162112423,0.016337095816006064,-0.0026423690205011896,0.0058032361575748315,0.00788056248418445,0.0029985007496251548,0.003678540595323021,0.06915846016114591,-0.007347371610362141,-0.011217520698996508,0.03336647884211685,0.005487071214008488,-0.013941582031635869,-0.10375596448976077
2012-06-01,0.24083875110711214,0.4898294609377269,-6.24548614612925,-1.49975314279709,-0.0071776681664206254,0.01513635799535673,0.015001970755867289,0.02348763137257337,-0.017617104200077227,0.025557812474222175,-0.09017037852882803,-0.10604078014443996,0.009369990634690684,-9.728156760624207,0.01351324383130903,-0.05184243476038175,0.10391463336345264,-0.0020005259826724187,0.03144290504264591,0.022074400288718765,0.013484155125466524,0.02069382150933241,0.026775887245161334,0.17213118287437124,0.0535075761805075,-0.0330443023188538,-0.13612309333272854,-0.004158802264947692,0.04195202639499085,0.007770093683407531,-0.03595142988924083,-0.136706910886217,0.24464519483557834,0.0,-0.10061737027617945,-0.03764246893448575,-0.026951215565472975,-0.017319255448863813,-0.045198841905842446,3.0,6.0,2.615,-0.04349128540305025,-0.014367021766710009,0.02277349894234404,0.008777380767437837,0.009266684487213572,0.07977325008215597,0.010085684974063591,-0.009606387623978474,-0.0038054098529259894,0.0012108053943469255,0.0022839393385711837,-0.016562584849307727,0.008321078870915821,0.014449427005480908,-0.0006731740154830579,-0.005861419300816406,0.004731018695154576,-0.00953115956010031,0.014059660002138541,-0.0011381700694270691,-0.00028271298652116084,-0.12930861208675315
2012-07-01,0.22891643921394625,0.4856968808430031,1.20582273834858,-0.280198868212426,-0.020301249280362255,0.017767389823333035,0.0021275594531489084,0.0233437058167556,0.07889333619060013,0.05549021344690641,-0.1852279489672667,-0.323761580869087,0.010823820619386249,-1.0762625215889903,0.06519807018851842,0.04557318806083632,-0.03777460739199723,0.06326575483644437,0.012339200007518203,0.012004385505850923,0.00555451962799447,0.021220809496138804,0.013027732713562612,0.060430506976063336,0.04013924594358942,0.01447358449950742,0.06922417911432932,0.03639692890873447,0.16843209997071162,0.23805501678867258,0.07724104458495229,0.048399403422969556,0.1427217939974279,0.0,-0.07010322699806248,-0.028685871740511737,-0.021773776983471382,0.11105475987181568,0.15236881108392053,2.85833333333333,5.9375,2.60916666666667,-0.018780837179690035,-0.016147666514416237,-0.04079515989628357,0.00782574200295727,-0.014252755703666464,-0.015017769116130064,-0.018953944307835924,0.010161449476181472,0.028288251084038762,0.007673060884070049,0.0030079299972656237,-0.008420762009939242,0.024472663892149527,-0.036836935166994156,0.003293289921784348,0.01979364076647716,0.023467760309865415,0.02392083528128386,-0.006484263798829715,0.009489435874889374,0.010093564920806486,-0.012373723858399521
2012-08-01,0.2200844719821041,0.48048091762359785,0.609882323920396,1.37418752507583,0.022532739785213307,0.01919704351790208,0.01411563178508124,0.027503096759960544,0.047994659213920876,0.040025272229098574,-0.2109110540099548,-0.6266930839573135,-0.0028065029031750788,2.2103487333415304,0.08175879490528226,0.0506932052373803,-0.042036025703273805,-0.010703320170480923,-0.0033850371631218845,0.00448321488729353,-0.0018724675314197858,0.020910915811551467,0.006671365992502398,0.008694162952390894,0.09346657139562486,-0.009193933414664346,-0.06788542926307128,0.027090694935217874,0.07551955854212178,0.04337059699617729,0.015113367395994004,0.09960831346345356,-0.5968715209557551,0.0,0.14614118262864872,0.034857215641319605,0.023366543284361052,-0.07071393782614799,-0.11527231283126327,2.86666666666667,5.93333333333333,2.59833333333333,0.052931184868933334,0.041790766939688195,0.06962025316455667,-0.004766768811711453,0.08784521766266251,0.013977072310405791,0.004637799194607162,-0.0034500675465032327,-0.029116465863453844,-0.005214368482039378,0.003998545983278756,-0.013852150911875194,-0.0036109857296622305,-0.035186129525752174,-0.01301801633779709,-0.019409456948172643,0.0052686257049570084,0.000608781675671688,-0.020640984824365827,-0.00975899756243892,0.02502718445925134,0.07300223148181795
2012-09-01,0.21622474153203744,0.4739429602232639,4.63384747806294,0.669732060660102,-0.07307135199433767,0.010799822527156389,0.011655246512581874,0.029197911293686873,0.01371722921555718,-0.022687922584341713,-0.07825996908516764,0.19070938240551594,-0.0012133807383246653,-2.8374567906947794,0.019275370704220585,-0.038218977339815385,-0.11698848063151479,0.035209542485688194,0.0013274091371171526,0.013029136614169046,-0.004182467486368524,0.019031462383261477,0.04050731584171818,0.166303223173065,0.03229433112537583,0.03046056126448171,0.08029368577271745,0.07013520038628696,0.016235754480540487,-0.051580995621858916,0.022846670739153918,-0.00034059334502967165,-1.1473085649131434,0.0,0.2589642408603605,0.06711071374767008,0.07949941011350226,-0.011493476903837063,0.004387740263968265,2.85,6.0125,2.57625,0.02853466026080964,0.03592971413585033,-0.037091520437112835,-0.009009009009008917,0.060141509433963236,-0.04316762214426273,-0.00641618039236469,0.006715468518634582,0.01292657704239919,0.007280139778683692,0.002443881245474344,0.012740876685254365,0.005714883088824729,-0.008985200845665897,0.011300075585789937,0.03327016213939782,-0.00952240348416633,-0.00692334017796048,0.027631792815733913,0.005826810215180389,-0.009919855383366594,-0.008847661593117784
2012-10-01,0.2172358913419813,0.4660976938623249,-0.591365665656163,0.219907972626112,0.13691328696641025,0.018545468195996895,0.01017067164577723,0.02350832186559293,0.046332573563329094,-0.006903496459434555,0.05299393327037705,0.06420861236955289,-0.02408009277189327,-3.203192789848342,0.10614833055985806,0.06498433480401311,0.015123754208724582,-0.00841975940429085,0.009357271682041812,0.024754709210039305,-0.006014321954161295,0.018391711093127983,0.08070560073286615,0.31675757973542584,-0.03156477105649247,-0.006174636285387947,-0.005679581254834476,-0.029610829103214886,-0.0006089946237481936,-0.03263861580810068,-0.08672408672408671,-0.059871957357416905,-0.6904344324627418,0.0,0.06518458102491476,-0.04084837730838453,-0.037325926812240784,0.08480473791512733,0.07865567940251816,2.875,6.025,2.54666666666667,0.05169503504818662,0.03203354297693917,0.052474851108554654,0.03666666666666596,-0.06934282656649327,0.034026380505254306,0.008038260716950463,-0.006546373599055411,-0.005002552322613596,0.0020237062734893563,-0.010112866817155841,0.006238020561073476,-0.007934583001282025,0.013866666666666694,-0.0025038304869390293,0.01834114530262898,-0.010210165449396347,0.0074310966525028554,-0.016186007275794778,-0.004002743818245724,-0.0022666811292217925,-0.0575264823270506
2012-11-01,0.22155622823468005,0.45747377653004134,0.0144769610423113,-0.830511567402959,-0.044264435863621165,0.010882875299291772,0.011791796165157908,0.034917212831338196,-0.017753441889460264,-0.034574911779670536,0.042448007319661585,-0.03822748966054479,-0.0022787197884434063,-0.49846626447045217,-0.03684079231449522,-0.007706947060253544,0.06035198725461499,-0.007455512562396072,0.013931998525910316,0.029513358845760118,-0.006803066482793274,0.015147864811732692,0.09417231921297597,0.3071111462233329,-0.001472022365950787,0.007817187634074019,-0.00370151384275752,-0.005632083696599843,0.013008691014490648,-0.007083025375708818,-0.06979859571322655,0.02022809162978656,6.26634599310679,0.0,-0.0807923061849517,-0.03582545151594008,-0.021223233629121707,0.03487623306062426,0.0045551845179023776,2.725,6.01666666666667,2.54333333333333,0.005867498514556813,-0.01142869038449379,-0.0012333946660734174,0.016182594486320534,-0.04728458547598147,0.019470324233850533,0.021640732316977163,0.009467208841622332,0.021136876667350757,0.0072541422801088995,0.017604670254492305,0.025143727921313364,0.009534786253143412,-0.03156233561283539,0.017008841600479663,-0.011006603962377404,0.013402605225510289,0.0314709236031927,-0.013504823151125445,0.01129002039742355,0.01042005947933955,-0.04954772800816987
