Fecha,CPI,CPI Tradable_lag_1,CPI Tradable_lag_2,CPI Non-Tradable_lag_1,CPI Non-Tradable_lag_2,CPI Core_lag_1,CPI Core_lag_2,CPI Non-Core_lag_1,CPI Non-Core_lag_2,CPI Food and Energy_lag_1,CPI Food and Energy_lag_2,CPI Excluding Food and Energy_lag_1,CPI Excluding Food and Energy_lag_2,CPI Food and Beverages_lag_1,CPI Food and Beverages_lag_2,CPI Excluding Food and Beverages_lag_1,CPI Excluding Food and Beverages_lag_2,CPI Core Excluding Food and Beverages_lag_1,CPI Core Excluding Food and Beverages_lag_2,CPI Imported_lag_1,CPI Imported_lag_2,Wholesale Price Index_lag_1,Wholesale Price Index_lag_2,Reserve Requirement Rate_lag_1,Reserve Requirement Rate_lag_2,Monetary Policy Rate_lag_1,Monetary Policy Rate_lag_2,Circulating Currency Seasonally Adjusted (mill S/)_lag_1,Circulating Currency Seasonally Adjusted (mill S/)_lag_2,Net International Reserves (mill $)_lag_1,Net International Reserves (mill $)_lag_2,Real Minimum Wage (Index)_lag_1,Real Minimum Wage (Index)_lag_2
2014-07-01,0.24852099620156756,0.17006630068776074,0.18508898482923694,0.2926410441386687,0.2849023450893047,0.2744444989212347,0.2736713523249111,0.19808455610323217,0.20146397135217714,0.2930321531155994,0.2925776933960354,0.21017245187555134,0.21166035096310323,0.34110545356480615,0.32315390550242673,0.18628586320519877,0.19923888814357057,0.24271698214025664,0.24268335434564572,0.041904016012646816,0.11333330685080913,0.09710783619059023,0.09359978805642033,12.4965701701218,12.3308748992648,4.0,4.0,0.005267121632831495,0.0034265442589511697,-0.0007427006452211948,-0.0015449025938915062,-0.0015892452897460219,-0.0022452524053167
2014-08-01,0.2506687558538943,0.1559032053474724,0.17006630068776074,0.30203316046275686,0.2926410441386687,0.27709905495357057,0.2744444989212347,0.19515440246940988,0.19808455610323217,0.29441135122678813,0.2930321531155994,0.21040924483798595,0.21017245187555134,0.35777495585834224,0.34110545356480615,0.1764607314674692,0.18628586320519877,0.2446556172782492,0.24271698214025664,-0.02420201922043595,0.041904016012646816,0.10520932763879867,0.09710783619059023,11.6967851247641,12.4965701701218,3.75,4.0,0.009542057750849153,0.005267121632831495,0.014787631036992321,-0.0007427006452211948,-0.004314430785042678,-0.0015892452897460219
2014-09-01,0.2547297010945425,0.14470924869747148,0.1559032053474724,0.3118408482322796,0.30203316046275686,0.2811954642731327,0.27709905495357057,0.19353102613915057,0.19515440246940988,0.2961805177165664,0.29441135122678813,0.2127875769084389,0.21040924483798595,0.3706773976023135,0.35777495585834224,0.1713898860689302,0.1764607314674692,0.2484258297182681,0.2446556172782492,-0.07720885600468537,-0.02420201922043595,0.11425388403957444,0.10520932763879867,11.4865267060826,11.6967851247641,3.75,3.75,0.014450142934427257,0.009542057750849153,-0.010467529296875,0.014787631036992321,0.0008569300423872939,-0.004314430785042678
2014-10-01,0.2614759379155348,0.1396240009039441,0.14470924869747148,0.321123949158734,0.3118408482322796,0.28637914231942224,0.2811954642731327,0.195459461070733,0.19353102613915057,0.29897149981065774,0.2961805177165664,0.2177857745466403,0.2127875769084389,0.37891686832834104,0.3706773976023135,0.1725796490813094,0.1713898860689302,0.25388168757679164,0.2484258297182681,-0.1095311863968346,-0.07720885600468537,0.12241604443635917,0.11425388403957444,10.8735444731299,11.4865267060826,3.5,3.75,0.01885370069595882,0.014450142934427257,-0.006121819583654542,-0.010467529296875,-0.0016024531095989447,0.0008569300423872939
2014-11-01,0.2712982862129337,0.14248401921085135,0.1396240009039441,0.3300557274492376,0.321123949158734,0.29245733778531935,0.28637914231942224,0.2035300365151283,0.195459461070733,0.3039390538458568,0.29897149981065774,0.22587974518252377,0.2177857745466403,0.382514400430968,0.37891686832834104,0.18132162778221797,0.1725796490813094,0.2609566253288102,0.25388168757679164,-0.11723243075927595,-0.1095311863968346,0.13054421292314833,0.12241604443635917,10.7981174162911,10.8735444731299,3.5,3.5,0.00579568118983409,0.01885370069595882,-0.014320512621600279,-0.006121819583654542,-0.003774284170007247,-0.0016024531095989447
2014-12-01,0.282963494382804,0.15298184250996522,0.14248401921085135,0.33944146863279523,0.3300557274492376,0.2993328556074167,0.29245733778531935,0.21900053195284783,0.2035300365151283,0.3131151810280216,0.3039390538458568,0.23610514401646887,0.22587974518252377,0.3842088906927661,0.382514400430968,0.19647039341171676,0.18132162778221797,0.2692530887396268,0.2609566253288102,-0.10355954075675312,-0.11723243075927595,0.1394466718066167,0.13054421292314833,10.6212222165498,10.7981174162911,3.5,3.5,-0.0007787255351179301,0.00579568118983409,-0.004407366598457418,-0.014320512621600279,0.001496843668116643,-0.003774284170007247
2015-01-01,0.29446197954975045,0.16792266783205617,0.15298184250996522,0.34919017238854666,0.33944146863279523,0.30675295048309453,0.2993328556074167,0.23874389374291055,0.21900053195284783,0.32560787605074576,0.3131151810280216,0.24697016748374645,0.23610514401646887,0.38572171034029823,0.3842088906927661,0.2148413235135862,0.19647039341171676,0.27793842714758904,0.2692530887396268,-0.07975859404185906,-0.10355954075675312,0.147459615994863,0.1394466718066167,13.0740524949622,10.6212222165498,3.5,3.5,0.015449983169256054,-0.0007787255351179301,-0.014893280632411021,-0.004407366598457418,-0.0022836886098870357,0.001496843668116643
2015-02-01,0.30491139463308364,0.18315139036484313,0.16792266783205617,0.3585265655804238,0.34919017238854666,0.31413322904433516,0.30675295048309453,0.2580614536443182,0.23874389374291055,0.3385894405147038,0.32560787605074576,0.2571525170098774,0.24697016748374645,0.3866261133010917,0.38572171034029823,0.23334560709769656,0.2148413235135862,0.2863504669515839,0.27793842714758904,-0.05608563833836308,-0.07975859404185906,0.1530362824841335,0.147459615994863,10.3631842819984,13.0740524949622,3.25,3.5,0.010576116725255824,0.015449983169256054,0.004991333376131557,-0.014893280632411021,-0.001700061725583013,-0.0022836886098870357
2015-03-01,0.31514845461664104,0.1965510778705411,0.18315139036484313,0.36726019931151976,0.3585265655804238,0.32096140407500967,0.31413322904433516,0.2753805766328939,0.2580614536443182,0.35114125688326764,0.3385894405147038,0.2657800425639719,0.2571525170098774,0.3880593752786992,0.3866261133010917,0.24972974078785198,0.23334560709769656,0.2941774682614868,0.2863504669515839,-0.03581643572654525,-0.05608563833836308,0.1584604931962625,0.1530362824841335,9.00242644944833,10.3631842819984,3.25,3.25,0.0030207062695188913,0.010576116725255824,-0.011546016384803348,0.004991333376131557,-0.0030255078261304247,-0.001700061725583013
2015-04-01,0.3251077937429912,0.20794372766598276,0.1965510778705411,0.3767880141372659,0.36726019931151976,0.326806402147858,0.32096140407500967,0.2939204946587104,0.2753805766328939,0.365396057653317,0.35114125688326764,0.27257347616816974,0.2657800425639719,0.39267136934603536,0.3880593752786992,0.26362444995420253,0.24972974078785198,0.3010958718674176,0.2941774682614868,-0.016247739232003164,-0.03581643572654525,0.16499940836013985,0.1584604931962625,10.0594440486518,9.00242644944833,3.25,3.25,0.0012508604621981334,0.0030207062695188913,-0.009257464133385018,-0.011546016384803348,-0.007588613905436303,-0.0030255078261304247
2015-05-01,0.3334556231230885,0.21775687304160327,0.20794372766598276,0.3867527287877959,0.3767880141372659,0.3317095053832077,0.326806402147858,0.31342986179906607,0.2939204946587104,0.3811416181537509,0.365396057653317,0.27757669697534243,0.27257347616816974,0.3998670280868707,0.39267136934603536,0.27532118165333097,0.26362444995420253,0.30715609045903264,0.3010958718674176,0.006243182935685249,-0.016247739232003164,0.172063447668061,0.16499940836013985,9.64205429256671,10.0594440486518,3.25,3.25,-6.801224688579577e-05,0.0012508604621981334,0.004957356946007296,-0.009257464133385018,-0.003889874700941376,-0.007588613905436303
2015-06-01,0.3383518532048106,0.22694617792342558,0.21775687304160327,0.3945128103730814,0.3867527287877959,0.33613545786991555,0.3317095053832077,0.32919967937190625,0.31342986179906607,0.39451858554352753,0.3811416181537509,0.2816185746605903,0.27757669697534243,0.4053922974474844,0.3998670280868707,0.2854623004072478,0.27532118165333097,0.31288596627198617,0.30715609045903264,0.033577931239762104,0.006243182935685249,0.1781027317712958,0.172063447668061,8.48852392032146,9.64205429256671,3.25,3.25,0.003970821342025532,-6.801224688579577e-05,-0.01969915783666254,0.004957356946007296,-0.005611982190736886,-0.003889874700941376
2015-07-01,0.3390480410292093,0.23612424866609932,0.22694617792342558,0.39682943982897817,0.3945128103730814,0.3394434700099661,0.33613545786991555,0.33711742928635513,0.32919967937190625,0.4018436310747837,0.39451858554352753,0.28444239614128636,0.2816185746605903,0.40554100348983935,0.4053922974474844,0.2934706941015369,0.2854623004072478,0.31736656580130124,0.31288596627198617,0.06476461426445208,0.033577931239762104,0.18070455135711283,0.1781027317712958,8.72593456734838,8.48852392032146,3.25,3.25,0.006339132693460758,0.003970821342025532,-0.006554880572062327,-0.01969915783666254,-0.0033124049933183075,-0.005611982190736886
2015-08-01,0.3368489143354026,0.24513713340182305,0.23612424866609932,0.39263582802286456,0.39682943982897817,0.3410854640412701,0.3394434700099661,0.3360245017791863,0.33711742928635513,0.40183953047272675,0.4018436310747837,0.28574082767857717,0.28444239614128636,0.39990539506201656,0.40554100348983935,0.2983504733267785,0.2934706941015369,0.31985737273639453,0.31736656580130124,0.09605258040371996,0.06476461426445208,0.17709770429192478,0.18070455135711283,10.7656128569681,8.72593456734838,3.25,3.25,0.003968765348723036,0.006339132693460758,-0.004715330656314021,-0.006554880572062327,-0.004487634245310734,-0.0033124049933183075
2015-09-01,0.3315097636267503,0.25430142045182536,0.24513713340182305,0.38383967785908873,0.39263582802286456,0.3413628572426432,0.3410854640412701,0.32907976657834853,0.3360245017791863,0.39683287309291365,0.40183953047272675,0.2859412740332152,0.28574082767857717,0.3906859695072924,0.39990539506201656,0.30080183730483034,0.2983504733267785,0.3208520697601306,0.31985737273639453,0.1247485063689849,0.09605258040371996,0.16709644680798658,0.17709770429192478,8.40046390976353,10.7656128569681,3.25,3.25,-0.0021312658979557586,0.003968765348723036,0.014715237553152294,-0.004715330656314021,-0.0037580847335917378,-0.004487634245310734
2015-10-01,0.32150225765931834,0.26241607445830084,0.25430142045182536,0.3707770257027227,0.38383967785908873,0.3403989704035137,0.3413628572426432,0.31532758948970513,0.32907976657834853,0.38675544647693855,0.39683287309291365,0.2846530928708948,0.2859412740332152,0.3786938346194347,0.3906859695072924,0.29988366819861983,0.30080183730483034,0.32054149088742606,0.3208520697601306,0.14545964937950154,0.1247485063689849,0.15256250032283156,0.16709644680798658,8.28700248803369,8.40046390976353,3.5,3.25,-0.0032937385794621354,-0.0021312658979557586,0.013627439658159046,0.014715237553152294,-0.0002753059802382829,-0.0037580847335917378
