Fecha,CPI Core,CPI Tradable,CPI Non-Tradable,CPI,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index)
2005-06-01,0.09534661845603212,0.11117792898244437,0.1495957620095209,0.1331962746173097,0.18620819877174247,0.1492563814755066,0.11222878808207087,0.0956507263378389,0.1662439243622265,0.11621856973890357,0.20241842524685502,0.23905197762496716,9.84816848681634,3.0,0.02522397557503364,-0.014126712328767166,-0.0026304845721162318
2005-07-01,0.09946914909736751,0.11942992392898809,0.17412574502330253,0.15102419509485193,0.22269020740874784,0.18003967757786538,0.11418302321101971,0.13718658327137398,0.16287821009616515,0.12260016141593666,0.202570975163616,0.266239954205778,10.8921658343438,3.0,0.020155675709270238,0.10602113185699813,-0.0010450197222716673
2005-08-01,0.1039315162824985,0.13415662226483654,0.19348800737263572,0.16848535916153531,0.25790481500548906,0.20984371958657752,0.11672275092801965,0.17691102852172452,0.16062977888114005,0.12747215519173027,0.2136100378381633,0.28895854735824855,9.97055335628208,3.0,0.017666948013411954,-0.10848655368710336,0.001799288861903392
2005-09-01,0.10762856097603246,0.15300650165236743,0.2016336279365372,0.18106142156090374,0.2827128939407482,0.23079832508293227,0.1193174523249231,0.20449067068937,0.16005034493201314,0.13030094294765518,0.2347193121692249,0.3052636256737359,10.0011055375802,3.0,0.012434958366885684,0.005137614678899061,0.0009436752884905975
2005-10-01,0.10994543963068311,0.17135560625773,0.19677321084350716,0.18582810103074376,0.2908749728975572,0.23792236163222683,0.12156564825001355,0.214817326375026,0.16014686584249083,0.13102673906083745,0.256726083014207,0.3132261488267159,9.28292931649162,3.0,0.019634611396136314,-0.01080686381891205,-0.0014457116281709759
2005-11-01,0.11118800616748896,0.18442498650101463,0.18217441897870656,0.18268988545579262,0.2817368141634402,0.23117425117477122,0.12307915645674998,0.21046537014250696,0.15824635480114468,0.13043200986341474,0.26827936564203836,0.31130059730174753,9.22842401578731,3.0,0.007616925307759592,-0.00029526832509041423,-0.0006799843313103349
2005-12-01,0.11214920357215025,0.18935953844613906,0.16388084563267272,0.1740127403137831,0.2598176827377794,0.21494224989903882,0.12378628225537909,0.19783996019099664,0.1531561431553367,0.12930671903796895,0.26261283576001293,0.30037789392670167,9.26077066269383,3.25,0.019379887934251716,0.040906741490068566,-0.004174748751111235
2006-01-01,0.11294771944441888,0.1843023641620699,0.1489098565740012,0.1631787113712172,0.23296535935890528,0.1956737930377794,0.12340314381123325,0.18457892585389574,0.1445236773915322,0.12775512039607975,0.24035544594181146,0.2817168658713274,9.56018220217793,3.5,0.017255350862605212,0.002979357310066044,0.08155298733989635
2006-02-01,0.11374355910820498,0.17043213944703706,0.14159704202300277,0.15320095217237956,0.20819781394603745,0.17882529216787002,0.1220688351450774,0.1770804323364069,0.13243390383603812,0.12587808739938347,0.2057321747737411,0.25745312537194304,9.42184008766983,3.75,-0.004828093729492444,-0.010608953957139788,-0.005452880116245118
2006-03-01,0.11449687714690224,0.15054450048897144,0.1390626075101822,0.14352705631199442,0.18424227871654542,0.16334509003964923,0.11981877782466546,0.1736403794729555,0.11738268565543039,0.12360329587788543,0.16368921862976887,0.22864296153861635,9.47751751076775,4.0,0.016138795768058323,0.03452712845807415,-0.004550821655397996
