Fecha,CPI,CPI Tradable,CPI Non-Tradable,CPI Core,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index),Wheat (US$ per ton),Corn  (US$ per ton),Soybean oil (US$ per ton),Crude oil (US$ per barrel)
2007-07-01,0.32977145845574524,0.3461836574378328,0.3186301422249507,0.2545589949833859,0.43299291887833385,0.4964756638670432,0.12158019705178716,0.5138419373112223,0.16092485359308373,0.15081692502491686,0.8121248686628586,0.4741088827277433,8.94526044698103,4.75,0.011045006395472345,0.08384429580081765,-0.004732945003934397,-0.008853876185162202,-0.17412486251255577,0.037069962768820686,0.09639338626052618
2007-08-01,0.3636441875513198,0.3821003930397058,0.3510143658394147,0.273469474158738,0.48706907578275843,0.55208901482747,0.12759372900297572,0.5738662268091282,0.1701313786626253,0.15305005432288743,0.8588516723228542,0.5294188573375922,9.32473349960874,4.75,0.029760495872450887,0.03154330776153946,-0.0013672045729831162,0.09920502979816992,0.00857140968959369,0.0033097217064570472,-0.022142963213826472
2007-09-01,0.39512377220145967,0.41054953806763456,0.3845692824773113,0.29326628694393797,0.5342745347946698,0.6022008717460531,0.13485536630518302,0.6329328703580815,0.17533090688946656,0.15668089256706696,0.881028887636698,0.5831451610055554,8.39602787699219,5.0,0.01896525205495725,-0.05160164526984923,-0.006087718927392016,0.24125380322481105,0.023511604439961253,0.08523945630081231,0.10036354022076877
2007-10-01,0.42257612335118283,0.4333319621778073,0.4152810525003684,0.3140798816605829,0.570482058496025,0.6434443710694314,0.1439405638457127,0.6854302855020918,0.1786299973820554,0.16245228566292758,0.8821885217332348,0.632432147888613,8.5992650216756,5.0,0.026964504678543832,0.09037543260174363,0.056681863938309984,0.041936748168470483,0.03561921663075229,0.030211266410355986,0.07762937592220243
2007-11-01,0.4454591999411057,0.45160286272547107,0.4414624152554187,0.33589857829915437,0.5944886088326004,0.6737613709408223,0.15633293519903227,0.7269854007785763,0.18313439872495738,0.17086253922748565,0.8644762074139847,0.6760251014220073,8.26667301784684,5.0,0.019413896656777174,0.05857774206508637,-0.001108840774751041,-0.03159196127946029,0.11981504147966726,0.11912612163149028,0.10660190435650696
2007-12-01,0.4637723314660723,0.46511783767893794,0.4632545265492365,0.3579619965532992,0.6074084682862406,0.69170976791193,0.17399490957632507,0.754529530311988,0.19179548969808569,0.18224931339664116,0.8269327899372536,0.7136800664463165,9.73533324087828,5.0,0.02540168805673848,0.05089570365872165,-0.004510611572490775,0.1332440839978506,0.11545623836126628,0.029149247930094768,-0.033154533075539394
2008-01-01,0.4783495912696491,0.47303439028558186,0.4825602717925918,0.379391639089471,0.6124486908392657,0.6985967886957887,0.19747295530715758,0.7679892076476663,0.20658630907607858,0.19677986467458275,0.7681363741208102,0.7447949498942719,8.47596538456782,5.25,0.01557566327121429,0.11007981508902454,0.03543670081931416,0.01653580100267482,0.12317630833998439,0.10677616719343863,0.01304659071379266
2008-02-01,0.4904818178334336,0.47334084747755445,0.5028992884894972,0.3989735769012917,0.6143414828115316,0.6980112683888207,0.2252609182650973,0.7707414236073012,0.2269407109045142,0.21381102345806077,0.6883768529757953,0.7673204510613878,9.81345929849397,5.25,0.03806697295421091,0.05104597065426031,-0.008988653835784288,0.20321061800154183,0.07697704905925407,0.15824430494187136,0.025807676825967407
2008-03-01,0.5011230796684234,0.4637906484822714,0.5274380824353351,0.41576941227333397,0.6166135990237033,0.6940045892840161,0.2547039657905691,0.7688922600565936,0.24919399391857208,0.2318770830807255,0.5884180937779897,0.7752400272792305,9.05250597360972,5.25,0.030838786643803795,0.03931158298768023,-0.010311080557034558,0.022583095526493402,0.052641955835962095,0.011058292033310435,0.10400890535070162
2008-04-01,0.5087151128816028,0.4411028456090032,0.5558515764493082,0.42929872804739916,0.6162513482984392,0.6857812145421419,0.2830086534081247,0.7652292250438902,0.2674684243772865,0.24972244160301313,0.46570953247561564,0.760001694592518,12.0038907733631,5.5,0.03603822603890405,0.06102573266619005,-0.001539826603477512,-0.1721485164236466,0.08926169354152158,-0.0027786703609502528,0.06897092462846621
2008-05-01,0.5089852183301317,0.40338950907250143,0.5822426437223267,0.439731684510614,0.6029357608181329,0.6666586057299895,0.30845499709448104,0.7556721896969222,0.2768281644639054,0.2670583915071518,0.3181494130774036,0.7151801728033202,13.5924449287886,5.5,0.01789518011956126,-0.02150175438596491,-0.003681309684951617,-0.10399787027177343,-0.00041034058268429874,0.04423112217620484,0.11634507846912756
2008-06-01,0.4999393087344857,0.35337431565461463,0.6013212456826018,0.4468364250424418,0.5722616961072209,0.6336987091755175,0.3299341386689375,0.7367782394296108,0.2763931241349249,0.2837994902164177,0.15299353848608724,0.641070672258547,13.8567399133011,5.75,0.013576949234889168,0.018904730485670873,-0.007637247504660882,0.021662357570690682,0.16932520134490625,0.05562457288703504,0.06525662494168327
2008-07-01,0.48192245311370907,0.2962411527802655,0.6100588313840668,0.4498026858356544,0.5261435808825088,0.5885928251076558,0.3463223472164752,0.7072928394198472,0.26827191201970624,0.29866312500720443,-0.016476828201315488,0.5422946558611782,12.6226810811728,6.0,0.003721746444004248,-0.019004448448673883,-0.005524034728116467,-0.05900633459249405,-0.08521035546956346,-0.03037859738739035,7.469375560198444e-05
2008-08-01,0.455799832050252,0.23751584658656216,0.6061637287699893,0.4480840911162863,0.4673956073786809,0.533728450262847,0.3568679707749337,0.6661532796027452,0.25545705586509426,0.3102787821239128,-0.17554050583049743,0.4249615416219526,11.4728760740044,6.25,0.0050086178100472445,0.0021238125304938738,-0.005870188615946459,-0.012196704294796912,-0.16070073870528923,-0.15607545568340175,-0.12856147014784514
2008-09-01,0.4213700947721881,0.1823995977713001,0.585784164823393,0.44150903366016936,0.3956613111973835,0.4686326074032102,0.361810219995789,0.6104143948435984,0.24050299615321197,0.3177862511054454,-0.31459652811856886,0.29744874364040713,10.7876011054917,6.5,0.01759613717302755,-0.00615745911733534,-0.0056400231941106105,-0.12549424012685884,-0.006954484488493451,-0.07823080247803504,-0.10387149699108222
2008-10-01,0.3802857767462641,0.13411634349549204,0.5495426804753025,0.42976949433136724,0.3149235856989469,0.39577520357827844,0.36143042944699844,0.541645969096913,0.22499819759509757,0.3209678548990548,-0.4302148594395186,0.16927282804199847,11.862506253031,6.5,0.003966183227424036,-0.07979367183447639,-0.006093923709230342,-0.20620658125392244,-0.26078548348995534,-0.24447487761359232,-0.26718915845140323
2008-11-01,0.3347371357601575,0.09365729260275645,0.5004598255526173,0.4125376928938068,0.23066532693289535,0.31942571711641427,0.3551454645760395,0.4646025931024974,0.20869678020802399,0.31936065723313695,-0.5192713956729744,0.045849503917768104,10.084114118979,6.5,0.006653338408811438,-0.03015689099051133,-0.003080715054006533,0.02193960750501467,-0.09090800762630824,-0.10256375985711008,-0.2539499965953199
2008-12-01,0.2872378542311495,0.06067995232385861,0.44301802679708613,0.3904773171073464,0.14816855396057357,0.2453885322609201,0.34156524772140917,0.3870070196679835,0.18944996407259312,0.31220243263085895,-0.5813433015120009,-0.06956526604157968,12.516334174122,6.5,-0.005560794574124728,0.00729738456570872,-0.003589304919205949,-0.012756435534606592,-0.010237118401909218,-0.07752379843460477,-0.28743052856476736
2009-01-01,0.24033308921292634,0.03314551257033857,0.38289386627069616,0.36452650832535954,0.07257519260239373,0.1787898616436121,0.3202098152598177,0.3171122827241084,0.16454292828282527,0.2993117753693843,-0.6213071945289681,-0.17420917660145052,9.83360754732225,6.5,0.003131893114617812,-0.03519682010514169,-0.0010566731362895432,0.08783521312782505,0.08463659238391341,0.06650664332585277,0.020156520642190756
2009-02-01,0.19460304392153407,0.009803252688942783,0.32186295853108626,0.3361945981117268,0.0033518716043904437,0.11968030155704965,0.29251453578832215,0.2564139633322093,0.13380642784388205,0.2816982838728054,-0.6434751147540935,-0.26657178588461894,8.2919723127372,6.25,0.001247999814633305,-0.022792212107116794,0.0007484267356403507,-0.06169654335095098,-0.03943068675006567,-0.08859810663827505,-0.06110503401955936
2009-03-01,0.15161944045136613,-0.007806588641752075,0.26146578958307803,0.3071150137159647,-0.058058847630376324,0.06901622272386919,0.260917758609171,0.20429390552648363,0.10089628206525315,0.26154280259632956,-0.644205855822202,-0.3386652620005297,8.82837359466158,6.0,0.00020577180166814202,0.05157758737930096,-0.0035892617566658513,-0.0044241472812913685,0.032145752215914536,-0.02266689187802562,0.2287855680696793
