Fecha,CPI,CPI Tradable,CPI Non-Tradable,CPI Core,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index)
2003-10-01,0.4778341195447647,0.4798125206495875,0.4760573933910648,0.0925717461380725,1.039719071783716,0.8841962133331634,-0.0015061966421696,0.9277129768617728,0.0762340995057322,0.0266495012577773,1.0786763575136955,0.6435639206797962,10.3499444005604,2.75,0.0102254937862622,0.0055422140699088,0.0569530179231096
2003-11-01,0.4532049880607836,0.4610709384369665,0.4473868115168317,0.0932913647710555,0.9778571123431332,0.8315048562381463,0.0069838443038469,0.8632428660923076,0.0873722215606461,0.0291280243994227,1.026927631020076,0.6101995975378534,11.6906076799113,2.5,0.0114448063590835,0.0502883487740208,-0.001674037902471
2003-12-01,0.4286305760394596,0.4421391378211169,0.4189425924581115,0.093968584036662,0.9162036431842884,0.7789844010017384,0.0153919378568753,0.7991404624792442,0.0982801676916218,0.0316485685966401,0.9750457842864656,0.5768604833072924,11.3911780648162,2.5,0.0166071069403763,-0.0105324680045865,-0.0056078821914734
2004-01-01,0.4041280631121774,0.4230261227114773,0.3907477075096786,0.0946044474836305,0.8547988480929044,0.7266695290045967,0.0237137618213901,0.7354489306879688,0.1089512829985542,0.0342150869854153,0.9230568666076572,0.5435879518998407,10.6340298884779,2.5,0.019489990994957,0.0362331016247088,-0.0053457438474842
2004-02-01,0.3797170576042186,0.4037489200011444,0.3628236403729686,0.0952018565531138,0.7936857360779164,0.674597481342428,0.0319472504034048,0.6722108188570204,0.1193843148929563,0.0368307954039731,0.8709945502810585,0.5104259695149672,10.7182950603118,2.5,0.0170025277311738,-0.0057425691423822,-0.0107441587921757
2004-03-01,0.3554185585869145,0.3843317852726589,0.3351891485365897,0.0957652626288683,0.7329081857319871,0.6228061414248957,0.0400927485537258,0.609466091627363,0.1295832887888555,0.0394980569428166,0.8188994805683986,0.4774170732846909,10.2072768102448,2.5,0.0220764830353497,-0.0087513513109973,-0.0045833812425245
2004-04-01,0.3312526783362135,0.3648060272157482,0.3078564888136242,0.0963004543247015,0.6725057701916435,0.5713293925441094,0.0481536895847742,0.5472458696795123,0.1395588863762517,0.0422178553188613,0.766818314034528,0.444597235048354,10.0587013909025,2.5,0.021821669221439,0.0057546188671246,0.0002277526108591
2004-05-01,0.3072334694501501,0.3452107077182553,0.2808221020994232,0.0968146938446943,0.6125008783711308,0.5201859646351609,0.0561387101765986,0.4855563820777789,0.1493331796993559,0.0449883151542735,0.7148006957957301,0.4119859407348956,10.3650488886592,2.5,0.0286226101994016,0.0336909103416525,-0.0035259707103386
2004-06-01,0.2833574765313876,0.3255899005480819,0.254049021528186,0.0973166056847404,0.5528709305606299,0.4693554332011004,0.0640655130378268,0.4243469343114775,0.1589469602121245,0.0478018020247181,0.6628857629184601,0.3795613352829888,11.155937726367,2.5,0.0122479723582729,0.0028658775655683,-0.0056064606621736
2004-07-01,0.2595893413222368,0.305931816830072,0.2274849471776387,0.0978043186735708,0.4935342263981067,0.4187633748890197,0.0719486150851954,0.363529984201914,0.1684143652647463,0.050648599758778,0.6110260223003661,0.3471954679614253,12.4785305242137,2.5,0.0079706786163868,0.0185876861490796,-0.0019273642173724
2004-08-01,0.2359451711326727,0.2857713277300649,0.2014821673950059,0.0981746406429228,0.4347142006678741,0.3685733479056901,0.0796398425171845,0.3036599995290038,0.1772646725861597,0.0535972473902423,0.5587987109471693,0.3146350526827215,11.0031447940749,2.75,0.0016424309916576,-0.0085154043816568,9.541548256231104e-05
2004-09-01,0.2159419205448045,0.2644299119654505,0.1824917696234857,0.0979540199005768,0.3858746310084206,0.326628910777709,0.0854887247388695,0.2565157303243115,0.1815003330571969,0.0577945068734953,0.5094970174005914,0.2881931741031978,9.79575167249491,2.75,0.036631531245165,0.0204519698561973,-0.0001668692746076
2004-10-01,0.1980073668909856,0.2435473226254389,0.1666933000223194,0.0976365004804063,0.3422832762375182,0.2890478570363128,0.0906638456101938,0.2153954357648427,0.1842164837952077,0.0624751660963735,0.4627333322967488,0.2655313936867877,9.93580576416647,3.0,0.0227979366281747,0.0875310817943568,0.0002375272949328
2004-11-01,0.1825350326534028,0.223594492985799,0.1544259431333335,0.0973157078258462,0.3047441620798503,0.2565389571740878,0.0951796065499976,0.1810641767850158,0.1854800480581194,0.0676124673218909,0.4190940827738035,0.247179654921604,9.13248713228398,3.0,0.0200811480630676,0.0141089535986533,-0.00286186769914
2004-12-01,0.1698371916480273,0.2051239985386351,0.1458329887115715,0.0970911638970247,0.2738548594530041,0.2296364846767201,0.0990850080962964,0.1540365653814103,0.1854338005247872,0.0731445582659613,0.3792484457995869,0.2334479878195695,9.99051988942136,3.0,0.0259987026210557,0.0237951361976163,9.35629552702988e-05
2005-01-01,0.1600804130530619,0.1887121137680978,0.1407924483067648,0.0970462834891996,0.249887227488628,0.2085946860578463,0.1024492267511458,0.1344584584534453,0.1842775939815467,0.0789753376191797,0.3439187628373053,0.224406600626004,9.31058194949794,3.0,0.0231235525416777,0.0391084550476825,-0.0010004930587689
2005-02-01,0.1532340884456651,0.1748638165374232,0.1388962963617077,0.0972336634674331,0.2326865639305142,0.1933046053893543,0.1053466008265857,0.122032720277911,0.1822336321210151,0.084979265393054,0.3137326950035289,0.219871654832563,8.91552852616557,3.0,0.0222821670335593,0.0154666666666667,0.0023517211315893
2005-03-01,0.1490559048546691,0.1639128966012159,0.1394962463520713,0.097673688713063,0.2216372588996501,0.1832722823755414,0.1078478250708923,0.1160198754718531,0.1795154348675995,0.0910101444122306,0.2890276844768923,0.2194049632879137,8.88611081060213,3.0,0.0188028257637635,0.0170318127250901,-0.0064599591283115
2005-04-01,0.1471275785958207,0.1559443309752016,0.1418194267296268,0.0983624973860927,0.2157340370354108,0.1776858803275723,0.1100152655372687,0.1153388729944395,0.176304482802913,0.0969107336283833,0.269696780737098,0.2223302427575767,9.18302020453614,3.0,0.0251020957827532,0.0054592401327924,-0.001186826788724
2005-05-01,0.1469226065396775,0.1507625975901841,0.145106487797925,0.0992823890718935,0.2137271042749841,0.175542000261435,0.1118993502158803,0.1187322512753096,0.172732299551179,0.1025194494500663,0.2551309200590519,0.2277599596796421,9.48836756286253,3.0,0.028750450793467,0.0283953334800792,-0.0012617106651862
2005-06-01,0.1478721157524537,0.1479156969919266,0.1487072755944331,0.1004094020111733,0.2142688477381645,0.1757705086271849,0.1135341346201858,0.1249267021663102,0.1688639842835785,0.1076762641068593,0.244274311668474,0.2346291762778852,9.84816848681634,3.0,0.0252239755750336,-0.0141267123287671,-0.0026304845721162
2005-07-01,0.1494152540957845,0.1467696337248371,0.152114307903777,0.1017168449853697,0.2160322285671187,0.1773308131039941,0.1149336582021929,0.1327546254983909,0.1646861132034599,0.1122353014695299,0.2357958994662777,0.2417498600767177,10.8921658343438,3.0,0.0201556757092702,0.1060211318569981,-0.0010450197222716
2005-08-01,0.1510387126774394,0.1466058829585119,0.1549612721529913,0.1031762584867063,0.2178108585426317,0.1792884317669462,0.1160889626737737,0.1412436699141244,0.1601011547680799,0.1160857175131109,0.2283472209318401,0.2479063557812551,9.97055335628208,3.0,0.0176669480134119,-0.1084865536871033,0.0017992888619033
2005-09-01,0.1522981788944875,0.146716216465767,0.156992402520558,0.1047565446254635,0.2185790804799197,0.1808546629998666,0.1169697112634753,0.1496384477340267,0.1549471507133908,0.1191711248212855,0.2208243890644623,0.2519909921029988,10.0011055375802,3.0,0.0124349583668856,0.005137614678899,0.0009436752884905
2005-10-01,0.1527591253596507,0.1465199313348903,0.1578787408548314,0.1064159580376692,0.217356028075516,0.1812572616057942,0.1175481335446453,0.1571288603601025,0.1491278377623971,0.1214828219550366,0.2125726088229465,0.2531319713338836,9.28292931649162,3.0,0.0196346113961363,-0.010806863818912,-0.0014457116281709
2005-11-01,0.1520108361199786,0.1455921967204056,0.1572215396561999,0.1081029537736927,0.2132346394517714,0.1797551922572758,0.1178098077444299,0.1628228965051004,0.1426614263170207,0.1230628091478258,0.2033865470501043,0.2508081471562603,9.22842401578731,3.0,0.0076169253077595,-0.0002952683250904,-0.0006799843313103
2005-12-01,0.1497473751951322,0.1436434635830296,0.1547044638558875,0.1097723337855654,0.2055495731227741,0.1757753522736767,0.117765264154972,0.1659124591137907,0.1356843842120997,0.1240088071346166,0.1933803075866255,0.2449309395632788,9.26077066269383,3.25,0.0193798879342517,0.0409067414900685,-0.0041747487511112
2006-01-01,0.1458718482148065,0.1404869159889941,0.1502938659136382,0.1114019342398646,0.194101135993029,0.1691080450972391,0.1174437598402015,0.1659416386840601,0.1284100073601332,0.1244663424687117,0.1828799385121051,0.2358597763777075,9.56018220217793,3.5,0.0172553508626052,0.002979357310066,0.0815529873398963
2006-02-01,0.1405814490181819,0.1360335673723152,0.1443870718067331,0.1130108555996567,0.1793316991325267,0.1600709407053113,0.1168835707484243,0.1630416692993338,0.1210815950231081,0.1246114175514145,0.1723653145510739,0.2243609076834639,9.42184008766983,3.75,-0.0048280937294924,-0.0106089539571397,-0.0054528801162451
2006-03-01,0.1343867513850176,0.130328922571028,0.1378200009152448,0.1146707115014919,0.162355454890915,0.1495525498752674,0.1161231516113258,0.1580154755501992,0.1139358296467986,0.1246257669196622,0.1624769379939227,0.2115019181896611,9.47751751076775,4.0,0.0161387957680583,0.0345271284580741,-0.0045508216553979
2006-04-01,0.1280441547931103,0.1236203922163095,0.1317055416661404,0.1165066173048914,0.1447957231784492,0.1388928217802293,0.1151974268329887,0.1522144073882831,0.1071866647592362,0.1246719262235803,0.1540857060237601,0.1985023347661573,9.84450150420507,4.25,0.0071595316564978,0.0014510779436152,-0.0050741931574858
2006-05-01,0.1224243773688736,0.1164246251058812,0.1271629930712312,0.1186895674277419,0.1284823406611822,0.1296384118468165,0.1141437589405054,0.1472456664555742,0.1010379006228977,0.1248782381584836,0.1483721978133883,0.186592669573422,9.86173025147523,4.5,-0.0068189688739218,-0.0178016973711446,0.0053075397149118
2006-06-01,0.1183589258083223,0.109546775298305,0.1250435527407855,0.1214188737947101,0.1151113037667342,0.1232524635089192,0.1130134783363828,0.1446104505655021,0.0957147860769721,0.1253333203833476,0.1468346785646012,0.1769166731857818,10.3661377375723,4.5,0.0120134894968817,0.0126448893572181,0.0013271313190503
2006-07-01,0.116514964156029,0.1040182576127355,0.1257607308476916,0.1248965629122181,0.1059834606333298,0.1208799522075284,0.1118792698898114,0.1454113520933238,0.0914878151397784,0.1260854259880336,0.151165061313317,0.1704858279866987,10.9277877773441,4.5,0.0143563000850803,0.0154699965313909,0.0017073135148761
2006-08-01,0.1173572105402335,0.1009550003140501,0.1293238914067514,0.1293025625476076,0.1019491331048049,0.1232797514612349,0.1108331629794838,0.1502901587692238,0.088655278665728,0.1271509364077136,0.162985382842282,0.1681765883213066,9.78131126298561,4.5,0.0163008098974506,0.0506216696269983,-0.0013915277054713
2006-09-01,0.1211983813089903,0.1013679793687175,0.1355559906958688,0.1347809619212606,0.103548857550538,0.1309271877905136,0.1099748955503544,0.1596087696727748,0.0874765884102597,0.1285299085123216,0.1835239639187121,0.1707354496116982,9.40106707947963,4.5,0.0190927966633642,-0.0134599128681969,-0.0002736063415766
2006-10-01,0.1282519264080977,0.106023047545473,0.1442816970502403,0.1414418598151999,0.1111332804104972,0.1441092869160637,0.1094134836620598,0.1735893694342465,0.0881476027471359,0.1302107037492798,0.2133612523122874,0.1787705553501293,9.29705045051053,4.5,0.0173352073817145,0.033021355127867,-0.0004377025284783
2006-11-01,0.1386734331660572,0.1153402207748605,0.1554690191590578,0.1493670325456082,0.1249536923719274,0.1630101554201529,0.1092566820934011,0.1924628961660463,0.0907469660263177,0.1321714697316469,0.2522797222360915,0.1927094729650884,9.25688997002771,4.5,0.0202612658158336,0.051043195304026,0.0028295353395786
2006-12-01,0.1525609200095265,0.1293605218761799,0.1692537860273159,0.1586146737181265,0.1451572890725583,0.1877215383340609,0.1095996358015297,0.2165201263485341,0.0951906912540409,0.1343838371312112,0.2992493214908259,0.2127319480741556,10.0495398442053,4.5,0.0210027700761192,0.0486857281612336,-0.0002580510535724
